15	1	3.595858	7.142738	5.464332	0.492308	6.990191	0.232768	4.155207	5.010116	2.365569	8.165449	5.153934	4.559071	7.030026	2.514270	5.847547	7.886028	2.362525	2.043913	1.324791	7.228041	6.004248	2.385523
16	1	1.100546	-0.477612	6.641765	6.549648	6.063096	1.029898	3.212001	4.604961	-1.093704	6.843104	6.978305	6.523639	7.672430	4.671575	5.047165	3.454574	4.224923	7.201120	4.387430	5.546722	8.361436	5.365963
17	1	6.561980	8.442562	2.920142	-5.597811	3.558862	-0.064982	4.138927	6.388837	5.127451	7.018386	6.816440	2.354998	8.259074	0.910000	2.138138	7.396905	1.564277	-0.250108	5.355461	7.091803	9.530077	6.947930
18	1	5.585792	7.514368	2.488270	7.046733	2.374516	0.006252	3.292719	6.107371	5.646146	3.326319	9.528513	5.413925	4.931929	0.985921	1.582346	5.709689	-0.318105	5.792486	4.652924	7.003039	7.949348	5.507681
19	1	5.127202	3.457148	3.105002	-2.289886	2.427181	4.992120	-1.711654	4.195656	1.621622	7.305307	5.941809	-5.029214	5.032844	-3.881584	-3.351901	1.036194	3.639506	-0.171580	1.640857	6.108981	3.307507	8.027898
22	1	-1.408745	-1.036717	6.835329	3.664379	7.344186	4.125458	4.316946	-0.196295	-6.360651	9.415740	3.807198	6.008525	7.169112	-6.281297	1.199418	4.795495	4.577258	-1.976340	0.374966	5.766613	4.094913	4.575113
23	1	6.563456	5.572601	4.869412	-4.775063	4.141245	-0.801276	3.596045	4.866011	3.282183	7.364313	6.980441	-2.831274	5.699515	-3.999986	-0.070304	7.099488	2.128102	-6.430336	3.416379	7.504257	7.687290	4.326591
24	1	4.738513	-2.280000	3.942422	-3.863302	2.420173	4.224313	-6.642335	3.280588	2.307707	7.957653	2.934778	5.191675	6.143683	1.931669	-0.414863	6.475248	7.274001	1.341335	0.526674	7.204432	3.376062	3.800271
25	1	4.000825	6.274065	6.814025	-1.137190	2.428999	0.860312	4.566997	6.943116	1.826720	5.977821	5.685794	-4.540295	3.989401	1.621555	-2.175631	-1.924701	3.810552	1.738820	4.447031	5.452785	6.637922	7.837393
26	1	6.756286	0.629987	1.492046	-11.934350	-0.329528	4.378925	-5.254382	2.063023	5.387565	2.938989	-2.349798	1.894260	5.165593	-2.587915	-4.829062	6.348599	9.141243	-2.386496	3.012487	6.423819	7.345113	6.169025
27	1	5.716326	2.929250	7.939324	-1.233866	7.603583	5.357354	0.172036	1.748182	3.155372	8.223675	1.802938	5.752638	6.519095	-0.145167	-0.542211	7.297832	6.963096	3.411889	-0.292754	6.708959	6.767969	7.525079
