,FOXA1,ZEB1,MYC,FOXA2,SOX11,KLF4,KDM5B,TCF4,LEF1,CBFA2T2,ETS2,ATF2,ELF3,CEBPD,TEAD4,NEUROD1,INSM1,REST,NFKB1,PBX1,TCF3,MYB,TCF12,OVOL2,FLI1,MITF,BHLHE40,POU3F2,ASCL1,TCF7L2,SMAD3,PAX5,SOX2
ETS2,0.3281715791552462,-0.1403001036748892,-0.22433158186214283,0.31159731272879154,0.11427651996478547,-0.12332970672634032,0.2814742559159347,0.20100416770765922,0.26521302912066885,0.3878629165472776,0.2568046874295677,0.3006355703039468,0.2138391445756486,0.08131304422510532,-0.35355026809190027,-0.14186512002167737,0.26176251056114974,-0.07942376934063101,-0.35630276295966534,0.3179022241295703,0.22792178528178075,0.249192481176508,0.2654342103926792,0.3925719245422902,0.44699017229980287,-0.44796793192035655,-0.34911214279545744,0.27621017488350663,0.28980380845774023,-0.3317808635718772,-0.2690616912698684,0.33805337647002975,0.3130466519546793
ATF2,0.23575667247976181,-0.07286121039523231,-0.24844374830557445,0.1811299503429669,0.08744697826779273,-0.0780500895734122,0.24307277248889494,0.011647808276558314,0.06311264632000788,0.22839798118116858,0.04479109968521455,0.20835686825938388,0.1037806257499893,-0.02299126359054824,-0.23182997372871209,-0.1038189851237468,0.12883474216091034,-0.09890496605026709,-0.2940966363201595,0.1448557773222818,0.16447767946187758,0.15233540724672884,0.2773686424561962,0.3520236814808327,0.2677654176858978,-0.2500093053065657,-0.19855975419608324,0.12598637123654127,0.17512490092331187,-0.07351255833321368,-0.0389127108307111,0.2885278551109791,0.03540349235880394
ELF3,0.3303096494511431,-0.2124832516061966,-0.4103054027683332,0.23812081248569297,0.39364349354225797,-0.02795083701240606,0.18213624325892794,0.3305607089639338,0.2733922033127362,0.48643040515889846,0.36324056556972983,0.3570698937466218,0.29510706401805253,0.11351760201862152,-0.4809067773977519,-0.10284421233927218,0.39003373987565726,-0.3581875130351931,-0.3636790935200095,0.4200649330886338,0.40265024859124726,0.3972662526558204,0.47204728649710076,0.5807888917856994,0.3648415370250542,-0.3612195444272814,-0.4441432215730018,0.31526289921691847,0.30629457943262334,-0.41547148580640564,-0.30258255176472487,0.34621133109975066,0.2637932586397931
CEBPD,-0.029388172297525196,0.0962728721445427,-0.0067435856025435,-0.08184034551901181,-0.1448853062814079,0.23641341955360354,-0.017906793771540454,-0.12464209381015863,-0.041876129288593016,0.14732307662138552,-0.036993681696867994,-0.00492540722888214,0.07779358884466882,0.13637238765453039,0.02278047217725362,-0.1643639442088993,-0.021494309557458856,0.16626686826026044,0.20911859919886386,-0.007929507181373939,-0.1551943891363049,-0.055808571037824106,-0.0812173628009347,-0.024036724076506265,-0.10482416732491236,0.05184794904038351,0.2567108177980265,-0.012057770690773207,0.08507411061860283,0.22315921506177464,0.263784829525374,-0.04733681280207859,0.11717837048576177
TEAD4,-0.34476510520314657,0.11250802713956591,0.42367015287828946,-0.25249395121027074,-0.4071167879389067,0.06395990590221894,-0.20860580072977514,-0.3394169304475419,-0.28230810506777293,-0.5046917016327293,-0.3722332244919914,-0.3633674201648982,-0.29423986724518925,-0.11590044393846555,0.3957643936603855,0.10135657427886695,-0.3958163186010232,0.366217736193766,0.38260486955210066,-0.4302824607013007,-0.4137873722188131,-0.4040578503106843,-0.48940993854138126,-0.49792090936851235,-0.3793524747482644,0.3772469196457714,0.4610302634338928,-0.3268824678995768,-0.31600799447412664,0.42975542844027864,0.33099662537232766,-0.3619131897925229,-0.2584744406323023
NEUROD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REST,-0.274177338917991,0.18642071447579261,0.41055171992325185,-0.25697633424250177,-0.313821110774709,0.10619274290307028,-0.11178186377220534,-0.2767836265660356,-0.31303473123232933,-0.30384873974516713,-0.30338990737956617,-0.359046837300195,-0.24292618383229564,0.014361453950314282,0.3314133255765606,-0.1110434831717246,-0.3717538118233771,0.29625546667995967,0.4325229020285632,-0.2169472159322138,-0.43286423525152323,-0.3034322756295636,-0.4317514221184899,-0.32785161190747536,-0.3242835230305493,0.322477805222348,0.4563433510384483,-0.33766570197439527,-0.3056002821696329,0.2806881249331354,0.2839908402977477,-0.3847611939468302,-0.04827701829971628
NFKB1,-0.2793830883798664,0.06190122656365995,0.3067513984288391,-0.30631795183149624,-0.36668514133028535,0.27553996046543583,-0.17977406756140465,-0.28122393408559754,-0.22378278868196655,-0.32392076666453784,-0.12906494314124578,-0.2738656778712171,-0.21672934115721673,0.11736831906778908,0.45952151053090456,-0.09311092926961242,-0.283531532689079,0.44173614551425366,0.3785975241304441,-0.2671613905287299,-0.47529454405652594,-0.38972327442781246,-0.3839810468281222,-0.45986548834593866,-0.4147065174413294,0.28688269814294826,0.4920272239058379,-0.2667355015803042,-0.16899596464527067,0.43635897251905664,0.2702430883361229,-0.4557037541585083,-0.025482619635112187
PBX1,0.493842786959046,-0.08214132608995503,-0.39770375898759497,0.3335383293832922,0.4171620228726335,-0.19397578552291145,0.2863436564112476,0.3370958424327314,0.24448566585213483,0.46567048772223496,0.3172493137162213,0.31652828299616553,0.2522827028848247,0.019896720702689198,-0.5494586891777212,-0.06311316789575959,0.3487050360105385,-0.3865470827391977,-0.452760880316778,0.37491042955398113,0.4250363833789267,0.3774999170310166,0.4584027070979305,0.4547992645871048,0.33745730838825194,-0.5275289231986722,-0.452608398027334,0.3770009829050619,0.434206288490196,-0.5071921697960671,-0.3299398962299633,0.3343869689554463,0.2160669653658364
