,FOXA1,ZEB1,MYC,FOXA2,SOX11,KLF4,KDM5B,TCF4,LEF1,CBFA2T2,ETS2,ATF2,ELF3,CEBPD,TEAD4,NEUROD1,INSM1,REST,NFKB1,PBX1,TCF3,MYB,TCF12,OVOL2,FLI1,MITF,BHLHE40,POU3F2,ASCL1,TCF7L2,SMAD3,PAX5,SOX2
ETS2,0.4148503244185295,-0.06698077989240404,0.03029989254769676,0.14924838146694092,0.1670543262169784,-0.05645516247404108,0.3290731808942366,2.409169563928097,0.6544315847250476,0.5751020588875597,0.13927857816333825,0.09848608293738711,0.3110898535830909,0.0473531117592222,-0.3190829725733609,-0.022509191842642426,0.18640771919649254,0.12696571165076523,-0.3127435419197144,-0.11197626118590677,0.457711496614314,-0.26219518215301946,0.11728566927514608,-0.1383116937365972,0.8479990346031171,-0.19233228047185003,-0.5235042730746745,0.04378664420155936,0.4911717003515009,-0.9063910170987137,0.6271662323586332,0.3866310931934157,0.10842852105760781
ATF2,0.2749298324234487,-0.15807787540955034,-0.24942155185516507,-0.3819281533382466,0.21152307787759123,-0.2783030518835045,0.9801230542237153,0.010515979200855983,-0.04268770462343054,-0.08631353892799996,-0.16762617661736587,-0.31362958343694364,0.3114579603467991,-0.5441864928454603,0.11874300211981466,0.6072872578338072,0.3349424146459153,-0.1711950739772684,-0.19624957916703334,-0.007618143186932538,0.1513015661773663,-0.9416609822202489,3.039470760961662,0.4883549041187029,-0.23178609387521193,-0.13027722213997545,-0.35956580999500215,-0.5257161437344543,0.0678227543288681,-1.1767192642697522,-5.110452293826508,0.15003625701001036,-3.2451473088153153
ELF3,0.33107497558608806,-0.2403314754434699,0.28034788500634783,0.05954690917253717,0.2853889171773184,0.12760383736313083,-0.2313763919046754,0.329700229443997,-0.019021587493237,0.2403178695186943,0.20702593393507243,0.21743680718869493,0.42209391712061695,-0.11633960676908316,-0.6070539384602056,-0.11185672016965884,0.29185164160367477,-0.13286433920652185,0.6521512905717731,0.1862514789738128,-0.29397799395074065,0.6969663378732299,0.32774485398035913,0.8934042585190661,0.12733647728935807,-0.1955697782857531,-1.1673056769312613,-0.011635219448108778,-0.11032628977751581,-0.14809434994683862,-0.1344847111881484,1.3753071531414813,-0.3921207133119418
CEBPD,0.06387029195958918,-0.08090912730398776,0.1861486664783336,-0.13414669025887235,-0.3346331611566042,0.224808751946453,-0.0023019975991978732,-0.048051999502922535,0.1864045935060434,1.1277740395133855,-0.4719402868352458,0.019856089354400752,3.7998737509219156,5.447586930313234,-0.32386104682649897,0.10398513258606253,0.43528520909217605,-0.09933819832846565,0.6358298017153587,-0.0235768734643955,-0.6428073628492841,-0.2990015865200486,-0.009764729100270956,0.07342530118662596,-0.10012196188675945,2.8451871455018143,0.4646120055007354,0.41553993546844575,-0.15726920162589633,0.09048965285393923,2.1548601939548733,0.3057722653833956,0.5024753933911111
TEAD4,0.007714160872841898,0.7198587000558221,0.713729805806476,0.07110329989073898,-0.24846157049128506,-0.09666426245283609,0.013001589756495029,-0.5296877614975406,-0.057260203271262515,-0.20360994733920637,-0.2539524268411314,-0.3560672646211784,-0.4475502037824966,-0.12796708678527743,0.47162043095378037,0.6266610345308039,-0.7576341037025078,0.11468929306758083,0.05711217791634803,0.5328982156506273,-0.6350205958673593,-0.25647681516971943,1.5767556261086113,11.98473551022545,-1.0646951634478952,-0.6138105285419468,0.5104207617016552,-1.2705401689355365,0.14860733929280212,0.6427509596042378,11.386329117223497,-0.08603848037721407,-0.5485004556036378
NEUROD1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06585670295371253,0.15044184860153625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INSM1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.15044184860153625,-0.06585670295371253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
REST,-0.11249069497173902,0.47718968173280585,0.4036274322182572,-0.20708228170382878,-0.1890327959742158,-0.4252652650035224,1.905781894746986,-0.41415388284434507,-0.4343289691382579,4.378555529521004,-0.301607635722416,-2.4640960846000914,-2.7764790611997503,-0.061657643686177765,0.9515071871994117,-1.682016945757796,-0.3345490399297354,0.31449853263497735,0.5569535124186595,-0.11652208369405466,-0.3620512849891367,-0.4504677043533598,-0.564846566626324,0.50087324560771,0.7714733262972608,-0.35993719903540045,0.727578158723464,-0.28539578986176395,-0.33816639608763716,0.3238264656285398,0.6728448826725992,1.4107051231210719,0.6023761308873335
NFKB1,-0.19249660557967888,0.21869037324044388,0.3250993863561184,-0.2552843163316963,-0.9578879102449535,0.03367978460586756,-0.07070208164554433,0.7052681489043042,-2.3160545177692207,2.29424945710623,0.2862477881561405,1.4184923743699458,-0.12187330778956694,0.0489287144951628,-1.5707347013228519,0.2797519609069609,-0.8489167953425633,0.24387710076748984,0.17818858395313458,0.02281882191563258,-0.5636684973114479,-0.206310305274902,-0.2960708251630586,-0.5154585846400084,0.48318225309352075,0.5249822300182818,2.849133658996045,-0.4363714368328452,-0.30264396462227394,0.3796872701394033,-0.012781668511689541,-0.790931095787024,-2.753954825988584
PBX1,0.9518730018880837,0.04518441365697896,-0.2870579697903788,2.0532340372147297,0.20931242349233428,4.771808983916367,0.8153265540109907,0.15808466631135257,0.3423132807336182,0.3109264465290363,0.20974463266866733,-0.010690812046678815,0.07409979254098437,-0.3188273930092044,-1.169618161163606,-0.026926713006496704,0.3317155704753719,0.44742945728845945,0.035895679014699165,1.1506009752104545,0.33913364800631185,-0.6986001724548035,8.119253912039241,-0.3907925178288731,-0.1516018554992753,-0.8523937927224264,-0.11051374776419277,-1.6001129882096872,0.35357148433506674,-0.2963227264855228,-0.557131319900136,-0.23439620923281432,0.20809608711506994
